Category ID,Category Name,Retail Name,Retail Price
3,冷凍食品_冰品_各式冰品_冰淇淋,Haagen-Dazs哈根達斯草莓迷你杯冰淇淋,90
3,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺超級冰淇淋-蘭姆葡萄,170
3,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-薄荷巧克力口味-500g,99
3,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺特級香草冰淇淋,120
3,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 夏威夷果仁冰淇淋,286
3,冷凍食品_冰品_各式冰品_冰棒,家樂福超值鳳梨枝仔冰棒-375g,29
3,冷凍食品_冰品_各式冰品_雪糕,義美黑糖珍奶雪糕-80gx4,139
3,冷凍食品_冰品_各式冰品_冰棒,家樂福超值綠豆枝仔冰棒-375g,29
3,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 淇淋巧酥冰淇淋,285
3,冷凍食品_冰品_各式冰品_冰棒,家樂福超值芋頭枝仔冰棒-375g,29
3,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-香檳葡萄-500g,99
3,冷凍食品_冰品_各式冰品_冰棒,義美土豆仁牛奶冰棒,79
3,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-瑞士巧克力-500g,99
3,冷凍食品_冰品_各式冰品_冰棒,義美紅豆粉粿牛奶冰棒,79
3,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬火龍果冰角,160
3,冷凍食品_冰品_各式冰品_冰棒,家樂福超值紅豆枝仔冰棒-375g,29
3,冷凍食品_冰品_各式冰品_雪糕,杜老爺巧克力脆粒花生雪糕,88
3,冷凍食品_冰品_各式冰品_雪糕,MR.COOL金點雪糕-紅豆牛奶,80
3,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-巧克力-500g,99
3,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 藍姆葡萄冰淇淋,286
3,冷凍食品_冰品_各式冰品_雪糕,MR.COOL金點雪糕-紅豆粉粿-70gx5,80
3,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-芋頭-500g,99
3,冷凍食品_冰品_各式冰品_冰棒,家樂福超值梅子枝仔冰棒-375g,29
3,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-香草-500g,99
3,冷凍食品_冰品_各式冰品_冰淇淋,百吉喜客冰淇淋黑糖珍珠奶茶-545g,119
4,生鮮食品_冷藏食品_飲品．甜點_布丁,統一布丁(100克3入/組),30
4,生鮮食品_冷藏食品_飲品．甜點_布丁,統一大布丁*3入/組,52
4,生鮮食品_冷藏食品_飲品．甜點_布丁,義美鮮奶雞蛋布丁-100gx3,40
4,生鮮食品_冷藏食品_飲品．甜點_布丁,統一布丁(100克12入/組),120
4,生鮮食品_冷藏食品_飲品．甜點_布丁,品味典藏醇奶布丁-100gx3,28
4,生鮮食品_冷藏食品_飲品．甜點_布丁,品味典藏雞蛋風味布丁-100gx3,28
4,生鮮食品_冷藏食品_飲品．甜點_布丁,盛香珍芒果布丁,14
4,生鮮食品_冷藏食品_飲品．甜點_布丁,品味典藏醇奶布丁-100gx12,112
4,生鮮食品_冷藏食品_飲品．甜點_布丁,爭鮮芒果布丁-110g*3,59
4,生鮮食品_冷藏食品_飲品．甜點_布丁,義美鮮奶雞蛋布丁,160
4,生鮮食品_冷藏食品_飲品．甜點_布丁,品味典藏雞蛋風味布丁-100gx12,112
4,生鮮食品_冷藏食品_飲品．甜點_布丁,爭鮮草莓布丁-110g*3,59
6,生鮮食品_冷藏食品_飲品．甜點_甜點,光泉晶典小品 茉莉茶凍-130gx3入組,59
6,生鮮食品_冷藏食品_飲品．甜點_甜點,中華花生豆花*4入/組,38
6,生鮮食品_冷藏食品_飲品．甜點_甜點,中華檸檬愛玉*4入/組,40
6,生鮮食品_冷藏食品_飲品．甜點_甜點,光泉晶典小品 咖啡凍-130gx3,59
6,生鮮食品_冷藏食品_飲品．甜點_甜點,光泉晶典小品-原味奶酪-100gx4,55
6,生鮮食品_冷藏食品_飲品．甜點_甜點,黑丸檸檬寒天愛玉-1000g,69
6,生鮮食品_冷藏食品_飲品．甜點_甜點,義美愛玉160g x 4,45
6,生鮮食品_冷藏食品_飲品．甜點_甜點,義美非基因改造花生豆花160g*4,40
6,生鮮食品_冷藏食品_飲品．甜點_甜點,中華水果豆花 150克*4入/組,38
6,生鮮食品_冷藏食品_飲品．甜點_甜點,爭鮮有機甘栗,75
6,生鮮食品_冷藏食品_飲品．甜點_甜點,梅花鄉 黑糖仙草,70
6,生鮮食品_冷藏食品_飲品．甜點_甜點,盛香珍水果多果實,28
6,生鮮食品_冷藏食品_飲品．甜點_甜點,盛香珍蜜柑多果實,28
6,生鮮食品_冷藏食品_飲品．甜點_甜點,盛香珍葡萄多果實,28
6,生鮮食品_冷藏食品_飲品．甜點_甜點,品味典藏鮮奶酪90gX3,99
6,生鮮食品_冷藏食品_飲品．甜點_甜點,黑丸檸檬寒天嫩愛玉,43
6,生鮮食品_冷藏食品_飲品．甜點_甜點,梅花鄉 金桔檸檬愛玉,70
6,生鮮食品_冷藏食品_飲品．甜點_甜點,蓮發九份芋圓地瓜圓,85
6,生鮮食品_冷藏食品_飲品．甜點_甜點,賞味佳紅豆300克,47
6,生鮮食品_冷藏食品_飲品．甜點_甜點,賞味佳花豆300克,47
