category_name,product_name,unit_price
日用百貨_家庭清潔_居家清潔_除濕劑,克潮靈吊掛式除濕袋-晨露香氛-200gx2,69
生鮮食品_肉品．高湯_豬．牛．羊肉_牛肉,家樂福冷凍美國霜降牛肉燒烤片(每盒約250g),180
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_巧克力飲品,美祿巧克力麥芽飲品鐵罐裝 1.5Kg,358
生鮮食品_肉品．高湯_加工肉品_烤肉食材,立大食品冷凍豬梅花烤肉片(每盒約250克),120
日用百貨_家庭清潔_居家清潔_除濕劑,克潮靈 環保除濕桶補充包-檜木香,59
冷凍食品_冷凍調理_水餃．麵食_其他口味水餃,奇美素食熟水餃(全素)-800g,89
米油沖泡_調味品．罐頭．湯品_調味粉．醬_火鍋醬．湯底,康寶雞湯塊-100g,59
生活休閒_日用百貨_餐具/鍋具/廚房配件_鋁箔、保鮮膜袋,OP生物分解抗菌密封袋 M,98
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山山藥五穀粥 35克x12,91
日用百貨_衛浴用品_毛巾．浴巾．海灘巾_方巾,OO 素色毛巾4入-顏色隨機出貨,129
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山黑豆多穀堅果飲 30克x12,91
米油沖泡_泡麵．麵條_速食麵_蔬菜口味,維力素飄香麻辣燙風味碗麵-100g,39
日用百貨_家庭清潔_居家清潔_除濕劑,家樂福備長炭集水袋除濕盒,36
生活休閒_寵物用品_狗_狗乾糧．罐頭,【狗罐】寶路原汁牛肉罐頭400g,47
生鮮食品_冷藏食品_調理食品_各式豆腐,宗家府火鍋專用嫩豆腐-350g,49
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山山藥黑芝麻糊 30克x12,91
冷凍食品_火鍋料理_各式火鍋料_火鍋餃/火鍋料,韓國水協-四角魚板串(5入),149
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,農心香辣海鮮味烏龍麵超值包120g x5,159
飲料零食_精選餅乾_鹹餅乾_蘇打餅乾,明治蘇打餅乾-26gx4,49
米油沖泡_咖啡．茶包_茶包_綠茶,天仁綠茶,173
米油沖泡_米．食用油_食用米_米,三好履歷台梗九號米(圓三)2.2kg,180
